id,operator,group,ref_class,map_class,ref_code,map_code
833,jeannette_kenovh,9,Fs,Fm,12,13
835,jeannette_kenovh,9,Fs,Fm,12,13
606,lillteddy,6,Fs,Fm,12,13
458,lillteddy,5,Fs,Fp,12,11
493,lillteddy,5,Fs,NF,12,2
468,lillteddy,5,Fs,Fm,12,13
846,jeannette_kenovh,9,Fs,Fp,12,11
439,lillteddy,5,Fs,Fp,12,11
578,carine,6,Fs,Fp,12,11
495,lillteddy,5,Fs,Fs,12,12
305,Cherubins,4,Fs,Fs,12,12
519,carine,6,Fs,Fp,12,11
865,jeannette_kenovh,9,Fs,Fs,12,12
130,josney,2,Fs,Fs,12,12
64,karel88,1,Fs,Fs,12,12
818,jeannette_kenovh,9,Fs,Fm,12,13
723,leslie,8,Fs,Fs,12,12
843,jeannette_kenovh,9,Fs,Fp,12,11
496,lillteddy,5,Fs,Fs,12,12
554,carine,6,Fs,Fp,12,11
759,leslie,8,Fs,Fs,12,12
898,jeannette_kenovh,9,Fs,Fp,12,11
827,jeannette_kenovh,9,Fs,Fm,12,13
871,jeannette_kenovh,9,Fs,Fm,12,13
520,carine,6,Fs,Fp,12,11
621,gisele,7,Fs,Fs,12,12
882,jeannette_kenovh,9,Fs,Fp,12,11
528,carine,6,Fs,Fp,12,11
864,jeannette_kenovh,9,Fs,Fp,12,11
614,gisele,7,Fs,Fs,12,12
314,Cherubins,4,Fs,Fs,12,12
874,jeannette_kenovh,9,Fs,Fs,12,12
521,carine,6,Fs,Fs,12,12
888,jeannette_kenovh,9,Fs,Fm,12,13
881,jeannette_kenovh,9,Fs,Fs,12,12
524,carine,6,Fs,Fs,12,12
816,jeannette_kenovh,9,Fs,Fp,12,11
809,jeannette_kenovh,9,Fs,Fm,12,13
819,jeannette_kenovh,9,Fs,Fm,12,13
869,jeannette_kenovh,9,Fs,Fm,12,13
457,lillteddy,5,NF,NF,2,2
527,carine,6,NF,NF,2,2
29,karel88,1,NF,NF,2,2
195,josney,2,NF,NF,2,2
144,josney,2,NF,NF,2,2
104,josney,2,NF,NF,2,2
427,lillteddy,5,NF,NF,2,2
740,leslie,8,NF,NF,2,2
53,karel88,1,NF,NF,2,2
529,carine,6,NF,NF,2,2
523,carine,6,NF,NF,2,2
702,Cherubins,7,NF,NF,2,2
302,karel88,3,NF,NF,2,2
509,carine,6,NF,NF,2,2
789,leslie,8,NF,Eau,2,4
35,karel88,1,NF,NF,2,2
186,josney,2,NF,NF,2,2
189,josney,2,NF,NF,2,2
668,gisele,7,NF,NF,2,2
72,karel88,1,NF,NF,2,2
139,josney,2,NF,NF,2,2
424,lillteddy,5,NF,NF,2,2
7,karel88,1,NF,NF,2,2
880,jeannette_kenovh,9,NF,NF,2,2
290,karel88,3,NF,NF,2,2
785,leslie,8,NF,NF,2,2
872,jeannette_kenovh,9,NF,Fs,2,12
844,jeannette_kenovh,9,NF,NF,2,2
312,Cherubins,4,NF,NF,2,2
778,leslie,8,NF,NF,2,2
384,Cherubins,4,NF,NF,2,2
81,karel88,1,NF,NF,2,2
492,lillteddy,5,NF,NF,2,2
287,karel88,3,NF,NF,2,2
728,leslie,8,NF,NF,2,2
660,gisele,7,NF,NF,2,2
837,jeannette_kenovh,9,NF,NF,2,2
647,gisele,7,NF,NF,2,2
75,karel88,1,NF,NF,2,2
583,carine,6,NF,NF,2,2
459,lillteddy,5,NF,NF,2,2
908,jeannette_kenovh,9,NF,NF,2,2
795,leslie,8,NF,Fs,2,12
667,gisele,7,NF,NF,2,2
270,karel88,3,NF,NF,2,2
564,carine,6,NF,NF,2,2
206,Precieux,3,NF,NF,2,2
907,jeannette_kenovh,9,NF,Fm,2,13
320,Cherubins,4,NF,NF,2,2
169,josney,2,NF,NF,2,2
704,Cherubins,7,NF,NF,2,2
866,jeannette_kenovh,9,NF,NF,2,2
142,josney,2,NF,NF,2,2
629,gisele,7,NF,Eau,2,4
640,gisele,7,NF,NF,2,2
736,leslie,8,NF,NF,2,2
161,josney,2,NF,NF,2,2
282,karel88,3,NF,NF,2,2
902,jeannette_kenovh,9,NF,NF,2,2
151,josney,2,NF,NF,2,2
590,lillteddy,6,NF,NF,2,2
713,leslie,8,NF,NF,2,2
507,carine,6,NF,NF,2,2
549,carine,6,NF,NF,2,2
187,josney,2,NF,Eau,2,4
117,josney,2,NF,NF,2,2
146,josney,2,NF,NF,2,2
226,Precieux,3,NF,NF,2,2
84,karel88,1,NF,Fm,2,13
